iter	Passed	Remaining
0	158	158603
1	168	84057
2	175	58254
3	180	45059
4	187	37236
5	192	31829
6	197	28019
7	202	25125
8	207	22894
9	213	21130
10	218	19656
11	223	18374
12	227	17305
13	232	16385
14	238	15638
15	243	14953
16	247	14308
17	252	13766
18	256	13265
19	261	12804
20	265	12394
21	270	12040
22	275	11696
23	279	11366
24	284	11089
25	288	10823
26	293	10573
27	299	10386
28	304	10187
29	308	9979
30	313	9802
31	318	9631
32	323	9472
33	328	9319
34	333	9186
35	337	9042
36	342	8918
37	349	8842
38	353	8717
39	358	8611
40	364	8518
41	368	8414
42	373	8318
43	378	8227
44	383	8134
45	388	8048
46	392	7964
47	397	7884
48	402	7807
49	407	7733
50	411	7662
51	416	7601
52	421	7536
53	426	7474
54	431	7421
55	437	7373
56	443	7334
57	449	7296
58	455	7269
59	461	7236
60	467	7197
61	473	7158
62	478	7121
63	484	7081
64	489	7048
65	495	7014
66	501	6987
67	508	6970
68	514	6941
69	520	6918
70	526	6895
71	533	6871
72	540	6861
73	545	6828
74	551	6800
75	557	6777
76	562	6746
77	572	6766
78	577	6738
79	583	6712
80	589	6688
81	594	6656
82	600	6630
83	605	6598
84	609	6565
85	615	6536
86	620	6508
87	625	6486
88	631	6462
89	636	6438
90	642	6413
91	647	6387
92	652	6359
93	657	6335
94	662	6310
95	667	6281
96	672	6257
97	676	6230
98	682	6208
99	687	6185
100	691	6157
101	697	6137
102	702	6117
103	707	6092
104	712	6077
105	717	6055
106	722	6031
107	728	6013
108	733	5993
109	737	5970
110	743	5957
111	748	5934
112	753	5911
113	758	5897
114	763	5876
115	768	5854
116	774	5841
117	778	5820
118	783	5800
119	788	5784
120	793	5767
121	798	5746
122	804	5733
123	809	5716
124	813	5697
125	818	5678
126	823	5662
127	828	5643
128	834	5633
129	840	5628
130	845	5609
131	850	5592
132	856	5581
133	861	5566
134	866	5553
135	871	5539
136	876	5524
137	881	5506
138	886	5492
139	891	5478
140	896	5461
141	901	5448
142	906	5433
143	911	5417
144	916	5403
145	922	5393
146	926	5377
147	931	5361
148	937	5355
149	942	5340
150	947	5324
151	952	5316
152	957	5300
153	962	5286
154	968	5280
155	973	5265
156	977	5249
157	983	5242
158	988	5229
159	993	5215
160	999	5207
161	1003	5193
162	1008	5178
163	1014	5171
164	1019	5158
165	1024	5144
166	1029	5136
167	1034	5122
168	1038	5108
169	1044	5099
170	1049	5086
171	1053	5073
172	1059	5066
173	1064	5053
174	1069	5040
175	1074	5030
176	1079	5021
177	1084	5008
178	1089	4997
179	1094	4987
180	1099	4975
181	1105	4966
182	1110	4956
183	1115	4945
184	1120	4937
185	1125	4927
186	1131	4919
187	1136	4907
188	1141	4898
189	1147	4890
190	1151	4878
191	1156	4868
192	1161	4858
193	1166	4848
194	1171	4837
195	1177	4828
196	1181	4817
197	1186	4806
198	1192	4798
199	1196	4787
200	1201	4776
201	1207	4770
202	1212	4759
203	1217	4749
204	1223	4746
205	1228	4734
206	1232	4723
207	1238	4716
208	1243	4705
209	1247	4694
210	1254	4689
211	1258	4677
212	1263	4666
213	1268	4658
214	1273	4648
215	1277	4637
216	1284	4634
217	1289	4626
218	1294	4618
219	1300	4611
220	1305	4602
221	1310	4594
222	1317	4590
223	1322	4582
224	1327	4573
225	1334	4568
226	1338	4559
227	1345	4555
228	1351	4548
229	1356	4540
230	1361	4532
231	1366	4524
232	1371	4516
233	1377	4509
234	1382	4501
235	1387	4493
236	1392	4484
237	1398	4478
238	1404	4471
239	1409	4464
240	1415	4459
241	1422	4454
242	1427	4448
243	1433	4441
244	1438	4433
245	1443	4425
246	1448	4415
247	1453	4406
248	1457	4397
249	1463	4391
250	1468	4381
251	1473	4374
252	1479	4367
253	1483	4357
254	1488	4349
255	1494	4342
256	1498	4333
257	1503	4324
258	1508	4315
259	1513	4306
260	1517	4297
261	1523	4290
262	1527	4281
263	1533	4275
264	1538	4268
265	1543	4259
266	1549	4253
267	1553	4244
268	1558	4235
269	1565	4231
270	1571	4227
271	1577	4222
272	1583	4217
273	1589	4212
274	1595	4206
275	1600	4198
276	1606	4191
277	1611	4186
278	1617	4180
279	1623	4174
280	1628	4166
281	1633	4159
282	1639	4152
283	1644	4144
284	1650	4139
285	1655	4132
286	1660	4125
287	1665	4118
288	1671	4111
289	1676	4105
290	1682	4099
291	1687	4092
292	1693	4085
293	1699	4081
294	1705	4074
295	1711	4070
296	1717	4064
297	1722	4056
298	1728	4052
299	1734	4046
300	1740	4041
301	1746	4036
302	1751	4029
303	1760	4029
304	1765	4023
305	1772	4019
306	1778	4014
307	1784	4010
308	1791	4005
309	1796	3998
310	1803	3995
311	1809	3990
312	1816	3987
313	1822	3982
314	1828	3975
315	1833	3969
316	1840	3965
317	1846	3960
318	1852	3953
319	1858	3948
320	1863	3941
321	1869	3935
322	1875	3931
323	1880	3923
324	1886	3917
325	1891	3910
326	1897	3904
327	1903	3899
328	1909	3893
329	1915	3889
330	1921	3883
331	1927	3878
332	1934	3874
333	1940	3868
334	1946	3863
335	1952	3858
336	1957	3851
337	1963	3846
338	1969	3839
339	1975	3834
340	1981	3829
341	1986	3822
342	1992	3817
343	1999	3812
344	2005	3806
345	2010	3800
346	2016	3794
347	2022	3789
348	2029	3785
349	2035	3779
350	2040	3773
351	2051	3776
352	2056	3769
353	2063	3765
354	2068	3759
355	2074	3753
356	2081	3749
357	2086	3742
358	2092	3736
359	2097	3728
360	2101	3720
361	2107	3713
362	2113	3708
363	2118	3702
364	2125	3697
365	2130	3691
366	2136	3685
367	2142	3679
368	2147	3672
369	2152	3665
370	2158	3659
371	2162	3651
372	2168	3645
373	2174	3640
374	2180	3633
375	2186	3628
376	2191	3622
377	2197	3615
378	2202	3609
379	2208	3602
380	2213	3596
381	2218	3589
382	2223	3581
383	2228	3575
384	2234	3569
385	2239	3561
386	2244	3554
387	2249	3547
388	2254	3540
389	2260	3535
390	2267	3531
391	2272	3524
392	2277	3517
393	2282	3511
394	2288	3505
395	2294	3499
396	2299	3492
397	2304	3486
398	2309	3479
399	2315	3473
400	2320	3466
401	2325	3459
402	2331	3453
403	2336	3446
404	2341	3439
405	2347	3433
406	2351	3426
407	2357	3420
408	2363	3415
409	2369	3409
410	2374	3403
411	2380	3397
412	2385	3390
413	2390	3383
414	2396	3377
415	2400	3370
416	2406	3364
417	2411	3357
418	2416	3350
419	2421	3343
420	2426	3336
421	2431	3329
422	2436	3323
423	2441	3316
424	2446	3309
425	2451	3303
426	2456	3296
427	2461	3289
428	2466	3283
429	2471	3276
430	2477	3270
431	2481	3263
432	2486	3255
433	2492	3250
434	2497	3244
435	2502	3237
436	2507	3231
437	2512	3223
438	2517	3216
439	2521	3209
440	2526	3203
441	2531	3195
442	2536	3189
443	2541	3183
444	2546	3176
445	2551	3169
446	2557	3163
447	2561	3156
448	2566	3149
449	2571	3143
450	2576	3136
451	2581	3130
452	2587	3123
453	2591	3116
454	2596	3110
455	2603	3105
456	2607	3098
457	2612	3091
458	2618	3085
459	2622	3078
460	2627	3072
461	2632	3066
462	2637	3059
463	2642	3052
464	2648	3046
465	2652	3039
466	2657	3033
467	2662	3026
468	2667	3019
469	2672	3013
470	2677	3006
471	2681	2999
472	2686	2993
473	2691	2987
474	2697	2981
475	2703	2975
476	2708	2969
477	2714	2964
478	2719	2957
479	2724	2951
480	2730	2945
481	2735	2939
482	2740	2933
483	2746	2928
484	2751	2922
485	2756	2915
486	2763	2910
487	2768	2904
488	2773	2898
489	2780	2893
490	2785	2888
491	2792	2883
492	2798	2878
493	2804	2872
494	2810	2867
495	2815	2861
496	2822	2856
497	2827	2850
498	2833	2844
499	2839	2839
500	2845	2833
501	2850	2827
502	2855	2821
503	2860	2814
504	2864	2808
505	2869	2801
506	2874	2794
507	2879	2788
508	2884	2782
509	2889	2775
510	2893	2769
511	2898	2762
512	2903	2756
513	2908	2750
514	2913	2743
515	2918	2737
516	2923	2731
517	2928	2725
518	2933	2718
519	2939	2713
520	2945	2707
521	2951	2702
522	2956	2696
523	2960	2689
524	2966	2684
525	2971	2677
526	2977	2672
527	2983	2666
528	2988	2660
529	2994	2655
530	3000	2650
531	3005	2643
532	3009	2636
533	3015	2631
534	3019	2624
535	3024	2618
536	3030	2613
537	3035	2606
538	3040	2600
539	3046	2594
540	3051	2588
541	3056	2582
542	3061	2576
543	3067	2571
544	3074	2566
545	3080	2561
546	3085	2555
547	3091	2549
548	3097	2544
549	3104	2539
550	3110	2534
551	3117	2529
552	3122	2523
553	3128	2518
554	3134	2512
555	3139	2507
556	3145	2501
557	3150	2495
558	3156	2490
559	3161	2483
560	3166	2477
561	3170	2471
562	3176	2465
563	3180	2459
564	3185	2452
